id_pedido,fecha_hora,dia_semana,hora,metodo_pago,tiempo_preparacion_min,calificacion_estrellas,id_item,nombre_platillo,categoria,cantidad_vendida,precio_venta_unitario,costo_produccion_unitario,subtotal_venta,subtotal_costo,subtotal_margen_ganancia,insumo_principal,alerta_inventario
112,2026-05-02 12:27:00,Sabado,12,Tarjeta,26,4,9,Orden de Guacamole,Complementos,4,55.0,15.0,220.0,60.0,160.0,Aguacate,Critico
112,2026-05-02 12:27:00,Sabado,12,Tarjeta,26,4,2,Taco de Asada,Platillos,2,40.0,15.0,80.0,30.0,50.0,Carne de Res (Asada),Optimo
112,2026-05-02 12:27:00,Sabado,12,Tarjeta,26,4,1,Taco de Cochinita,Platillos,1,35.0,12.5,35.0,12.5,22.5,Carne de Cerdo (Cochinita),Critico
112,2026-05-02 12:27:00,Sabado,12,Tarjeta,26,4,10,Cerveza Nacional,Bebidas,2,45.0,20.0,90.0,40.0,50.0,Cerveza Nacional,Critico
113,2026-05-02 13:31:00,Sabado,13,Tarjeta,18,5,1,Taco de Cochinita,Platillos,3,35.0,12.5,105.0,37.5,67.5,Carne de Cerdo (Cochinita),Critico
113,2026-05-02 13:31:00,Sabado,13,Tarjeta,18,5,4,Combo Godin (3 Tacos + Refresco),Combos,1,120.0,45.0,120.0,45.0,75.0,Tortillas de Maiz,Critico
113,2026-05-02 13:31:00,Sabado,13,Tarjeta,18,5,6,Agua de Horchata 1L,Bebidas,1,40.0,10.0,40.0,10.0,30.0,Limon,Critico
114,2026-05-02 14:31:00,Sabado,14,Tarjeta,26,5,1,Taco de Cochinita,Platillos,2,35.0,12.5,70.0,25.0,45.0,Carne de Cerdo (Cochinita),Critico
115,2026-05-02 14:48:00,Sabado,14,Tarjeta,27,4,5,Coca Cola 600ml,Bebidas,2,30.0,12.0,60.0,24.0,36.0,Coca Cola 600ml,Optimo
115,2026-05-02 14:48:00,Sabado,14,Tarjeta,27,4,9,Orden de Guacamole,Complementos,1,55.0,15.0,55.0,15.0,40.0,Aguacate,Critico
115,2026-05-02 14:48:00,Sabado,14,Tarjeta,27,4,10,Cerveza Nacional,Bebidas,2,45.0,20.0,90.0,40.0,50.0,Cerveza Nacional,Critico
116,2026-05-02 15:53:00,Sabado,15,Efectivo,31,4,3,Torta de Cochinita,Platillos,1,60.0,25.0,60.0,25.0,35.0,Carne de Cerdo (Cochinita),Critico
116,2026-05-02 15:53:00,Sabado,15,Efectivo,31,4,10,Cerveza Nacional,Bebidas,1,45.0,20.0,45.0,20.0,25.0,Cerveza Nacional,Critico
116,2026-05-02 15:53:00,Sabado,15,Efectivo,31,4,1,Taco de Cochinita,Platillos,2,35.0,12.5,70.0,25.0,45.0,Carne de Cerdo (Cochinita),Critico
117,2026-05-02 18:44:00,Sabado,18,Tarjeta,19,5,2,Taco de Asada,Platillos,1,40.0,15.0,40.0,15.0,25.0,Carne de Res (Asada),Optimo
117,2026-05-02 18:44:00,Sabado,18,Tarjeta,19,5,6,Agua de Horchata 1L,Bebidas,2,40.0,10.0,80.0,20.0,60.0,Limon,Critico
118,2026-05-02 20:25:00,Sabado,20,Efectivo,19,4,4,Combo Godin (3 Tacos + Refresco),Combos,1,120.0,45.0,120.0,45.0,75.0,Tortillas de Maiz,Critico
118,2026-05-02 20:25:00,Sabado,20,Efectivo,19,4,3,Torta de Cochinita,Platillos,1,60.0,25.0,60.0,25.0,35.0,Carne de Cerdo (Cochinita),Critico
119,2026-05-02 22:27:00,Sabado,22,Transferencia,15,5,7,Volcan de Queso y Asada,Complementos,1,50.0,18.0,50.0,18.0,32.0,Queso Asadero,Optimo
119,2026-05-02 22:27:00,Sabado,22,Transferencia,15,5,4,Combo Godin (3 Tacos + Refresco),Combos,3,120.0,45.0,360.0,135.0,225.0,Tortillas de Maiz,Critico
120,2026-05-03 12:04:00,Domingo,12,Tarjeta,17,5,6,Agua de Horchata 1L,Bebidas,1,40.0,10.0,40.0,10.0,30.0,Limon,Critico
120,2026-05-03 12:04:00,Domingo,12,Tarjeta,17,5,1,Taco de Cochinita,Platillos,1,35.0,12.5,35.0,12.5,22.5,Carne de Cerdo (Cochinita),Critico
121,2026-05-03 12:23:00,Domingo,12,Efectivo,15,4,6,Agua de Horchata 1L,Bebidas,1,40.0,10.0,40.0,10.0,30.0,Limon,Critico
121,2026-05-03 12:23:00,Domingo,12,Efectivo,15,4,8,Flan Napolitano,Postres,3,45.0,12.0,135.0,36.0,99.0,Flan Base Repostera,Optimo
122,2026-05-03 12:32:00,Domingo,12,Tarjeta,18,5,8,Flan Napolitano,Postres,1,45.0,12.0,45.0,12.0,33.0,Flan Base Repostera,Optimo
122,2026-05-03 12:32:00,Domingo,12,Tarjeta,18,5,7,Volcan de Queso y Asada,Complementos,3,50.0,18.0,150.0,54.0,96.0,Queso Asadero,Optimo
122,2026-05-03 12:32:00,Domingo,12,Tarjeta,18,5,6,Agua de Horchata 1L,Bebidas,2,40.0,10.0,80.0,20.0,60.0,Limon,Critico
123,2026-05-03 12:34:00,Domingo,12,Efectivo,18,5,3,Torta de Cochinita,Platillos,2,60.0,25.0,120.0,50.0,70.0,Carne de Cerdo (Cochinita),Critico
123,2026-05-03 12:34:00,Domingo,12,Efectivo,18,5,7,Volcan de Queso y Asada,Complementos,1,50.0,18.0,50.0,18.0,32.0,Queso Asadero,Optimo
124,2026-05-03 12:51:00,Domingo,12,Tarjeta,21,5,1,Taco de Cochinita,Platillos,2,35.0,12.5,70.0,25.0,45.0,Carne de Cerdo (Cochinita),Critico
124,2026-05-03 12:51:00,Domingo,12,Tarjeta,21,5,8,Flan Napolitano,Postres,2,45.0,12.0,90.0,24.0,66.0,Flan Base Repostera,Optimo
124,2026-05-03 12:51:00,Domingo,12,Tarjeta,21,5,9,Orden de Guacamole,Complementos,1,55.0,15.0,55.0,15.0,40.0,Aguacate,Critico
124,2026-05-03 12:51:00,Domingo,12,Tarjeta,21,5,6,Agua de Horchata 1L,Bebidas,1,40.0,10.0,40.0,10.0,30.0,Limon,Critico
125,2026-05-03 13:23:00,Domingo,13,Tarjeta,21,5,10,Cerveza Nacional,Bebidas,2,45.0,20.0,90.0,40.0,50.0,Cerveza Nacional,Critico
125,2026-05-03 13:23:00,Domingo,13,Tarjeta,21,5,8,Flan Napolitano,Postres,1,45.0,12.0,45.0,12.0,33.0,Flan Base Repostera,Optimo
125,2026-05-03 13:23:00,Domingo,13,Tarjeta,21,5,1,Taco de Cochinita,Platillos,1,35.0,12.5,35.0,12.5,22.5,Carne de Cerdo (Cochinita),Critico
125,2026-05-03 13:23:00,Domingo,13,Tarjeta,21,5,7,Volcan de Queso y Asada,Complementos,3,50.0,18.0,150.0,54.0,96.0,Queso Asadero,Optimo
126,2026-05-03 14:18:00,Domingo,14,Tarjeta,19,5,9,Orden de Guacamole,Complementos,1,55.0,15.0,55.0,15.0,40.0,Aguacate,Critico
126,2026-05-03 14:18:00,Domingo,14,Tarjeta,19,5,4,Combo Godin (3 Tacos + Refresco),Combos,2,120.0,45.0,240.0,90.0,150.0,Tortillas de Maiz,Critico
127,2026-05-03 15:05:00,Domingo,15,Transferencia,32,4,4,Combo Godin (3 Tacos + Refresco),Combos,4,120.0,45.0,480.0,180.0,300.0,Tortillas de Maiz,Critico
127,2026-05-03 15:05:00,Domingo,15,Transferencia,32,4,10,Cerveza Nacional,Bebidas,1,45.0,20.0,45.0,20.0,25.0,Cerveza Nacional,Critico
127,2026-05-03 15:05:00,Domingo,15,Transferencia,32,4,2,Taco de Asada,Platillos,1,40.0,15.0,40.0,15.0,25.0,Carne de Res (Asada),Optimo
128,2026-05-03 21:40:00,Domingo,21,Tarjeta,28,5,10,Cerveza Nacional,Bebidas,1,45.0,20.0,45.0,20.0,25.0,Cerveza Nacional,Critico
128,2026-05-03 21:40:00,Domingo,21,Tarjeta,28,5,7,Volcan de Queso y Asada,Complementos,1,50.0,18.0,50.0,18.0,32.0,Queso Asadero,Optimo
128,2026-05-03 21:40:00,Domingo,21,Tarjeta,28,5,9,Orden de Guacamole,Complementos,3,55.0,15.0,165.0,45.0,120.0,Aguacate,Critico
128,2026-05-03 21:40:00,Domingo,21,Tarjeta,28,5,2,Taco de Asada,Platillos,1,40.0,15.0,40.0,15.0,25.0,Carne de Res (Asada),Optimo
129,2026-05-03 22:16:00,Domingo,22,Transferencia,21,4,2,Taco de Asada,Platillos,1,40.0,15.0,40.0,15.0,25.0,Carne de Res (Asada),Optimo
129,2026-05-03 22:16:00,Domingo,22,Transferencia,21,4,9,Orden de Guacamole,Complementos,1,55.0,15.0,55.0,15.0,40.0,Aguacate,Critico
129,2026-05-03 22:16:00,Domingo,22,Transferencia,21,4,4,Combo Godin (3 Tacos + Refresco),Combos,3,120.0,45.0,360.0,135.0,225.0,Tortillas de Maiz,Critico
129,2026-05-03 22:16:00,Domingo,22,Transferencia,21,4,10,Cerveza Nacional,Bebidas,2,45.0,20.0,90.0,40.0,50.0,Cerveza Nacional,Critico
130,2026-05-03 22:32:00,Domingo,22,Transferencia,12,5,10,Cerveza Nacional,Bebidas,2,45.0,20.0,90.0,40.0,50.0,Cerveza Nacional,Critico
131,2026-05-03 22:34:00,Domingo,22,Efectivo,16,5,6,Agua de Horchata 1L,Bebidas,2,40.0,10.0,80.0,20.0,60.0,Limon,Critico
132,2026-05-03 22:45:00,Domingo,22,Efectivo,15,5,9,Orden de Guacamole,Complementos,2,55.0,15.0,110.0,30.0,80.0,Aguacate,Critico
133,2026-05-03 23:19:00,Domingo,23,Efectivo,19,5,1,Taco de Cochinita,Platillos,2,35.0,12.5,70.0,25.0,45.0,Carne de Cerdo (Cochinita),Critico
133,2026-05-03 23:19:00,Domingo,23,Efectivo,19,5,7,Volcan de Queso y Asada,Complementos,1,50.0,18.0,50.0,18.0,32.0,Queso Asadero,Optimo
133,2026-05-03 23:19:00,Domingo,23,Efectivo,19,5,9,Orden de Guacamole,Complementos,2,55.0,15.0,110.0,30.0,80.0,Aguacate,Critico
134,2026-05-04 12:03:00,Lunes,12,Tarjeta,12,5,7,Volcan de Queso y Asada,Complementos,3,50.0,18.0,150.0,54.0,96.0,Queso Asadero,Optimo
135,2026-05-04 14:22:00,Lunes,14,Efectivo,29,4,3,Torta de Cochinita,Platillos,1,60.0,25.0,60.0,25.0,35.0,Carne de Cerdo (Cochinita),Critico
135,2026-05-04 14:22:00,Lunes,14,Efectivo,29,4,9,Orden de Guacamole,Complementos,2,55.0,15.0,110.0,30.0,80.0,Aguacate,Critico
135,2026-05-04 14:22:00,Lunes,14,Efectivo,29,4,4,Combo Godin (3 Tacos + Refresco),Combos,1,120.0,45.0,120.0,45.0,75.0,Tortillas de Maiz,Critico
136,2026-05-04 20:19:00,Lunes,20,Transferencia,26,5,7,Volcan de Queso y Asada,Complementos,1,50.0,18.0,50.0,18.0,32.0,Queso Asadero,Optimo
136,2026-05-04 20:19:00,Lunes,20,Transferencia,26,5,6,Agua de Horchata 1L,Bebidas,1,40.0,10.0,40.0,10.0,30.0,Limon,Critico
137,2026-05-04 21:49:00,Lunes,21,Efectivo,31,4,2,Taco de Asada,Platillos,2,40.0,15.0,80.0,30.0,50.0,Carne de Res (Asada),Optimo
137,2026-05-04 21:49:00,Lunes,21,Efectivo,31,4,10,Cerveza Nacional,Bebidas,1,45.0,20.0,45.0,20.0,25.0,Cerveza Nacional,Critico
137,2026-05-04 21:49:00,Lunes,21,Efectivo,31,4,7,Volcan de Queso y Asada,Complementos,4,50.0,18.0,200.0,72.0,128.0,Queso Asadero,Optimo
138,2026-05-05 12:07:00,Martes,12,Tarjeta,16,5,8,Flan Napolitano,Postres,2,45.0,12.0,90.0,24.0,66.0,Flan Base Repostera,Optimo
139,2026-05-05 13:05:00,Martes,13,Tarjeta,15,5,6,Agua de Horchata 1L,Bebidas,2,40.0,10.0,80.0,20.0,60.0,Limon,Critico
140,2026-05-05 14:11:00,Martes,14,Transferencia,26,5,1,Taco de Cochinita,Platillos,2,35.0,12.5,70.0,25.0,45.0,Carne de Cerdo (Cochinita),Critico
141,2026-05-05 14:31:00,Martes,14,Tarjeta,23,4,4,Combo Godin (3 Tacos + Refresco),Combos,3,120.0,45.0,360.0,135.0,225.0,Tortillas de Maiz,Critico
141,2026-05-05 14:31:00,Martes,14,Tarjeta,23,4,2,Taco de Asada,Platillos,2,40.0,15.0,80.0,30.0,50.0,Carne de Res (Asada),Optimo
142,2026-05-05 14:33:00,Martes,14,Efectivo,22,5,7,Volcan de Queso y Asada,Complementos,1,50.0,18.0,50.0,18.0,32.0,Queso Asadero,Optimo
142,2026-05-05 14:33:00,Martes,14,Efectivo,22,5,2,Taco de Asada,Platillos,2,40.0,15.0,80.0,30.0,50.0,Carne de Res (Asada),Optimo
143,2026-05-05 15:03:00,Martes,15,Efectivo,18,5,7,Volcan de Queso y Asada,Complementos,1,50.0,18.0,50.0,18.0,32.0,Queso Asadero,Optimo
143,2026-05-05 15:03:00,Martes,15,Efectivo,18,5,6,Agua de Horchata 1L,Bebidas,1,40.0,10.0,40.0,10.0,30.0,Limon,Critico
144,2026-05-05 17:23:00,Martes,17,Tarjeta,17,5,3,Torta de Cochinita,Platillos,1,60.0,25.0,60.0,25.0,35.0,Carne de Cerdo (Cochinita),Critico
144,2026-05-05 17:23:00,Martes,17,Tarjeta,17,5,10,Cerveza Nacional,Bebidas,3,45.0,20.0,135.0,60.0,75.0,Cerveza Nacional,Critico
145,2026-05-05 18:53:00,Martes,18,Efectivo,12,5,10,Cerveza Nacional,Bebidas,2,45.0,20.0,90.0,40.0,50.0,Cerveza Nacional,Critico
146,2026-05-05 20:03:00,Martes,20,Efectivo,24,4,6,Agua de Horchata 1L,Bebidas,1,40.0,10.0,40.0,10.0,30.0,Limon,Critico
146,2026-05-05 20:03:00,Martes,20,Efectivo,24,4,8,Flan Napolitano,Postres,1,45.0,12.0,45.0,12.0,33.0,Flan Base Repostera,Optimo
146,2026-05-05 20:03:00,Martes,20,Efectivo,24,4,1,Taco de Cochinita,Platillos,2,35.0,12.5,70.0,25.0,45.0,Carne de Cerdo (Cochinita),Critico
147,2026-05-05 20:48:00,Martes,20,Tarjeta,23,4,7,Volcan de Queso y Asada,Complementos,2,50.0,18.0,100.0,36.0,64.0,Queso Asadero,Optimo
148,2026-05-05 21:13:00,Martes,21,Tarjeta,17,4,8,Flan Napolitano,Postres,1,45.0,12.0,45.0,12.0,33.0,Flan Base Repostera,Optimo
149,2026-05-05 21:48:00,Martes,21,Tarjeta,20,4,10,Cerveza Nacional,Bebidas,1,45.0,20.0,45.0,20.0,25.0,Cerveza Nacional,Critico
150,2026-05-05 22:55:00,Martes,22,Efectivo,15,5,8,Flan Napolitano,Postres,1,45.0,12.0,45.0,12.0,33.0,Flan Base Repostera,Optimo
150,2026-05-05 22:55:00,Martes,22,Efectivo,15,5,2,Taco de Asada,Platillos,2,40.0,15.0,80.0,30.0,50.0,Carne de Res (Asada),Optimo
151,2026-05-06 14:54:00,Miercoles,14,Tarjeta,20,5,4,Combo Godin (3 Tacos + Refresco),Combos,1,120.0,45.0,120.0,45.0,75.0,Tortillas de Maiz,Critico
152,2026-05-06 14:59:00,Miercoles,14,Tarjeta,21,5,2,Taco de Asada,Platillos,2,40.0,15.0,80.0,30.0,50.0,Carne de Res (Asada),Optimo
152,2026-05-06 14:59:00,Miercoles,14,Tarjeta,21,5,8,Flan Napolitano,Postres,1,45.0,12.0,45.0,12.0,33.0,Flan Base Repostera,Optimo
152,2026-05-06 14:59:00,Miercoles,14,Tarjeta,21,5,5,Coca Cola 600ml,Bebidas,1,30.0,12.0,30.0,12.0,18.0,Coca Cola 600ml,Optimo
153,2026-05-06 15:44:00,Miercoles,15,Efectivo,20,5,4,Combo Godin (3 Tacos + Refresco),Combos,2,120.0,45.0,240.0,90.0,150.0,Tortillas de Maiz,Critico
154,2026-05-06 20:31:00,Miercoles,20,Tarjeta,21,5,1,Taco de Cochinita,Platillos,2,35.0,12.5,70.0,25.0,45.0,Carne de Cerdo (Cochinita),Critico
155,2026-05-06 21:28:00,Miercoles,21,Tarjeta,25,4,6,Agua de Horchata 1L,Bebidas,2,40.0,10.0,80.0,20.0,60.0,Limon,Critico
155,2026-05-06 21:28:00,Miercoles,21,Tarjeta,25,4,7,Volcan de Queso y Asada,Complementos,2,50.0,18.0,100.0,36.0,64.0,Queso Asadero,Optimo
156,2026-05-07 14:32:00,Jueves,14,Transferencia,24,4,10,Cerveza Nacional,Bebidas,1,45.0,20.0,45.0,20.0,25.0,Cerveza Nacional,Critico
156,2026-05-07 14:32:00,Jueves,14,Transferencia,24,4,3,Torta de Cochinita,Platillos,1,60.0,25.0,60.0,25.0,35.0,Carne de Cerdo (Cochinita),Critico
157,2026-05-07 17:07:00,Jueves,17,Transferencia,15,5,10,Cerveza Nacional,Bebidas,4,45.0,20.0,180.0,80.0,100.0,Cerveza Nacional,Critico
158,2026-05-07 17:23:00,Jueves,17,Efectivo,16,5,8,Flan Napolitano,Postres,1,45.0,12.0,45.0,12.0,33.0,Flan Base Repostera,Optimo
158,2026-05-07 17:23:00,Jueves,17,Efectivo,16,5,2,Taco de Asada,Platillos,1,40.0,15.0,40.0,15.0,25.0,Carne de Res (Asada),Optimo
159,2026-05-07 17:27:00,Jueves,17,Tarjeta,22,4,6,Agua de Horchata 1L,Bebidas,3,40.0,10.0,120.0,30.0,90.0,Limon,Critico
159,2026-05-07 17:27:00,Jueves,17,Tarjeta,22,4,5,Coca Cola 600ml,Bebidas,3,30.0,12.0,90.0,36.0,54.0,Coca Cola 600ml,Optimo
159,2026-05-07 17:27:00,Jueves,17,Tarjeta,22,4,8,Flan Napolitano,Postres,1,45.0,12.0,45.0,12.0,33.0,Flan Base Repostera,Optimo
160,2026-05-07 17:32:00,Jueves,17,Efectivo,19,5,5,Coca Cola 600ml,Bebidas,1,30.0,12.0,30.0,12.0,18.0,Coca Cola 600ml,Optimo
160,2026-05-07 17:32:00,Jueves,17,Efectivo,19,5,2,Taco de Asada,Platillos,1,40.0,15.0,40.0,15.0,25.0,Carne de Res (Asada),Optimo
161,2026-05-07 20:14:00,Jueves,20,Tarjeta,15,5,4,Combo Godin (3 Tacos + Refresco),Combos,1,120.0,45.0,120.0,45.0,75.0,Tortillas de Maiz,Critico
162,2026-05-07 21:25:00,Jueves,21,Efectivo,22,5,7,Volcan de Queso y Asada,Complementos,3,50.0,18.0,150.0,54.0,96.0,Queso Asadero,Optimo
163,2026-05-07 21:42:00,Jueves,21,Tarjeta,19,5,2,Taco de Asada,Platillos,2,40.0,15.0,80.0,30.0,50.0,Carne de Res (Asada),Optimo
163,2026-05-07 21:42:00,Jueves,21,Tarjeta,19,5,6,Agua de Horchata 1L,Bebidas,2,40.0,10.0,80.0,20.0,60.0,Limon,Critico
164,2026-05-07 22:51:00,Jueves,22,Transferencia,15,4,7,Volcan de Queso y Asada,Complementos,4,50.0,18.0,200.0,72.0,128.0,Queso Asadero,Optimo
165,2026-05-07 23:21:00,Jueves,23,Efectivo,14,5,6,Agua de Horchata 1L,Bebidas,1,40.0,10.0,40.0,10.0,30.0,Limon,Critico
166,2026-05-08 12:10:00,Viernes,12,Efectivo,16,5,8,Flan Napolitano,Postres,2,45.0,12.0,90.0,24.0,66.0,Flan Base Repostera,Optimo
167,2026-05-08 14:34:00,Viernes,14,Efectivo,26,2,6,Agua de Horchata 1L,Bebidas,2,40.0,10.0,80.0,20.0,60.0,Limon,Critico
168,2026-05-08 14:37:00,Viernes,14,Transferencia,33,4,6,Agua de Horchata 1L,Bebidas,1,40.0,10.0,40.0,10.0,30.0,Limon,Critico
168,2026-05-08 14:37:00,Viernes,14,Transferencia,33,4,10,Cerveza Nacional,Bebidas,2,45.0,20.0,90.0,40.0,50.0,Cerveza Nacional,Critico
168,2026-05-08 14:37:00,Viernes,14,Transferencia,33,4,9,Orden de Guacamole,Complementos,3,55.0,15.0,165.0,45.0,120.0,Aguacate,Critico
168,2026-05-08 14:37:00,Viernes,14,Transferencia,33,4,3,Torta de Cochinita,Platillos,1,60.0,25.0,60.0,25.0,35.0,Carne de Cerdo (Cochinita),Critico
168,2026-05-08 14:37:00,Viernes,14,Transferencia,33,4,5,Coca Cola 600ml,Bebidas,3,30.0,12.0,90.0,36.0,54.0,Coca Cola 600ml,Optimo
169,2026-05-08 14:47:00,Viernes,14,Efectivo,26,4,8,Flan Napolitano,Postres,3,45.0,12.0,135.0,36.0,99.0,Flan Base Repostera,Optimo
169,2026-05-08 14:47:00,Viernes,14,Efectivo,26,4,5,Coca Cola 600ml,Bebidas,4,30.0,12.0,120.0,48.0,72.0,Coca Cola 600ml,Optimo
169,2026-05-08 14:47:00,Viernes,14,Efectivo,26,4,6,Agua de Horchata 1L,Bebidas,4,40.0,10.0,160.0,40.0,120.0,Limon,Critico
170,2026-05-08 15:17:00,Viernes,15,Efectivo,23,4,6,Agua de Horchata 1L,Bebidas,1,40.0,10.0,40.0,10.0,30.0,Limon,Critico
170,2026-05-08 15:17:00,Viernes,15,Efectivo,23,4,7,Volcan de Queso y Asada,Complementos,1,50.0,18.0,50.0,18.0,32.0,Queso Asadero,Optimo
170,2026-05-08 15:17:00,Viernes,15,Efectivo,23,4,2,Taco de Asada,Platillos,3,40.0,15.0,120.0,45.0,75.0,Carne de Res (Asada),Optimo
171,2026-05-08 15:57:00,Viernes,15,Efectivo,18,5,4,Combo Godin (3 Tacos + Refresco),Combos,4,120.0,45.0,480.0,180.0,300.0,Tortillas de Maiz,Critico
172,2026-05-08 17:36:00,Viernes,17,Transferencia,14,5,2,Taco de Asada,Platillos,1,40.0,15.0,40.0,15.0,25.0,Carne de Res (Asada),Optimo
173,2026-05-08 20:52:00,Viernes,20,Transferencia,29,3,10,Cerveza Nacional,Bebidas,2,45.0,20.0,90.0,40.0,50.0,Cerveza Nacional,Critico
173,2026-05-08 20:52:00,Viernes,20,Transferencia,29,3,6,Agua de Horchata 1L,Bebidas,2,40.0,10.0,80.0,20.0,60.0,Limon,Critico
174,2026-05-08 21:12:00,Viernes,21,Tarjeta,27,5,8,Flan Napolitano,Postres,1,45.0,12.0,45.0,12.0,33.0,Flan Base Repostera,Optimo
174,2026-05-08 21:12:00,Viernes,21,Tarjeta,27,5,1,Taco de Cochinita,Platillos,1,35.0,12.5,35.0,12.5,22.5,Carne de Cerdo (Cochinita),Critico
174,2026-05-08 21:12:00,Viernes,21,Tarjeta,27,5,2,Taco de Asada,Platillos,2,40.0,15.0,80.0,30.0,50.0,Carne de Res (Asada),Optimo
